epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,413.185,0.42177,0.36729,0.94287,0.87139,0.87368,0.86153,0.71055,0.63164,0.64514,1.12286,0.000656,0.000656,0.000656
45,422.329,0.42044,0.38711,0.94291,0.88506,0.88776,0.8832,0.72167,0.63155,0.61007,1.11796,0.000648,0.000648,0.000648
46,431.693,0.41839,0.38315,0.95081,0.87188,0.87368,0.84215,0.69109,0.69959,0.60627,1.1626,0.00064,0.00064,0.00064
47,440.908,0.42691,0.39255,0.95138,0.88726,0.88958,0.89063,0.72316,0.65379,0.57059,1.12808,0.000632,0.000632,0.000632
48,450.213,0.41996,0.39445,0.95054,0.87215,0.87464,0.87728,0.71569,0.68405,0.61529,1.14513,0.000624,0.000624,0.000624
49,459.471,0.42321,0.3828,0.94809,0.86725,0.86986,0.8507,0.69816,0.64106,0.59704,1.12965,0.000616,0.000616,0.000616
50,468.728,0.42252,0.3982,0.95251,0.88327,0.88517,0.85297,0.69934,0.63758,0.57794,1.12716,0.000608,0.000608,0.000608
51,478.075,0.41907,0.38872,0.94464,0.86491,0.87847,0.87501,0.71033,0.63657,0.58514,1.12106,0.0006,0.0006,0.0006
52,487.382,0.41829,0.39013,0.94706,0.86934,0.87081,0.85136,0.69773,0.66057,0.54215,1.15862,0.000592,0.000592,0.000592
53,496.694,0.41763,0.39395,0.94972,0.88938,0.87464,0.86294,0.71426,0.63188,0.58395,1.13036,0.000584,0.000584,0.000584
54,505.905,0.40938,0.38629,0.94054,0.88311,0.87847,0.88037,0.70834,0.6435,0.58044,1.12948,0.000576,0.000576,0.000576
55,515.09,0.40993,0.36047,0.94858,0.89287,0.8778,0.86357,0.70567,0.6439,0.60539,1.13304,0.000568,0.000568,0.000568
56,524.276,0.41369,0.36658,0.94401,0.86136,0.87847,0.85106,0.69594,0.66794,0.6018,1.1409,0.00056,0.00056,0.00056
57,533.45,0.41121,0.37481,0.94666,0.88911,0.87774,0.87468,0.70127,0.70472,0.66565,1.18121,0.000552,0.000552,0.000552
58,542.616,0.41558,0.37613,0.94172,0.88022,0.8823,0.87919,0.71286,0.64825,0.59789,1.14203,0.000544,0.000544,0.000544
59,551.856,0.40691,0.36909,0.94355,0.88736,0.88612,0.87109,0.70695,0.6254,0.57713,1.11695,0.000536,0.000536,0.000536
60,560.957,0.4038,0.37181,0.9463,0.87712,0.8632,0.87257,0.71961,0.62936,0.57263,1.12906,0.000528,0.000528,0.000528
61,570.118,0.40414,0.34582,0.9436,0.88668,0.8823,0.87629,0.71657,0.67239,0.60325,1.1804,0.00052,0.00052,0.00052
62,579.268,0.40968,0.34401,0.93718,0.87458,0.88134,0.86259,0.71256,0.6719,0.60837,1.16574,0.000512,0.000512,0.000512
63,588.508,0.40839,0.379,0.94634,0.88486,0.87751,0.86157,0.70904,0.64202,0.60729,1.1303,0.000504,0.000504,0.000504
64,597.742,0.39765,0.35759,0.9391,0.89628,0.87134,0.8718,0.7151,0.61619,0.57961,1.11711,0.000496,0.000496,0.000496
65,606.955,0.40852,0.35388,0.9378,0.7956,0.85196,0.85498,0.68032,0.70198,0.7215,1.16185,0.000488,0.000488,0.000488
66,616.614,0.40197,0.38201,0.94568,0.85416,0.8676,0.8771,0.72129,0.67136,0.61783,1.15996,0.00048,0.00048,0.00048
67,625.76,0.40561,0.37643,0.94469,0.87596,0.87847,0.8808,0.7252,0.64108,0.5999,1.13665,0.000472,0.000472,0.000472
68,635.019,0.40466,0.37057,0.93848,0.89177,0.87751,0.87873,0.71662,0.63866,0.59179,1.12511,0.000464,0.000464,0.000464
69,644.187,0.40601,0.36717,0.94599,0.88695,0.88612,0.87811,0.71139,0.63766,0.52283,1.12858,0.000456,0.000456,0.000456
70,653.373,0.39437,0.35835,0.93832,0.88481,0.88663,0.87968,0.72046,0.61319,0.55544,1.14201,0.000448,0.000448,0.000448
71,662.617,0.39452,0.35489,0.94065,0.87969,0.87847,0.87266,0.71607,0.64975,0.54415,1.15102,0.00044,0.00044,0.00044
72,671.861,0.4,0.36248,0.93817,0.88756,0.88325,0.8717,0.71707,0.66333,0.54731,1.16432,0.000432,0.000432,0.000432
73,681.168,0.39659,0.36239,0.9422,0.88692,0.87943,0.8697,0.70898,0.60873,0.55939,1.10761,0.000424,0.000424,0.000424
74,690.416,0.38631,0.35234,0.93299,0.89478,0.89062,0.87946,0.71965,0.62316,0.60447,1.1224,0.000416,0.000416,0.000416
75,699.683,0.39176,0.35784,0.93517,0.88053,0.87871,0.85565,0.71259,0.63332,0.56022,1.13096,0.000408,0.000408,0.000408
76,708.869,0.38951,0.34761,0.94252,0.8815,0.88325,0.87133,0.70936,0.63724,0.5436,1.13415,0.0004,0.0004,0.0004
77,718.038,0.39354,0.35861,0.93571,0.88436,0.88325,0.85597,0.70819,0.63859,0.56215,1.14378,0.000392,0.000392,0.000392
78,727.328,0.39248,0.3387,0.93337,0.8945,0.88995,0.87478,0.72702,0.60012,0.56213,1.12791,0.000384,0.000384,0.000384
79,736.769,0.38815,0.3359,0.93387,0.89203,0.88708,0.88991,0.73405,0.62565,0.56144,1.14104,0.000376,0.000376,0.000376
80,746.078,0.39284,0.33869,0.93614,0.89113,0.88708,0.88826,0.73636,0.59319,0.53417,1.11414,0.000368,0.000368,0.000368
81,755.354,0.38779,0.33522,0.93184,0.88304,0.87847,0.86712,0.71979,0.61462,0.57372,1.12254,0.00036,0.00036,0.00036
82,764.595,0.38198,0.33695,0.93066,0.88016,0.87849,0.86749,0.71695,0.63419,0.53948,1.13958,0.000352,0.000352,0.000352
83,773.817,0.38126,0.34356,0.93508,0.86527,0.86699,0.86647,0.71595,0.66038,0.5649,1.15867,0.000344,0.000344,0.000344
84,782.993,0.38126,0.33974,0.94097,0.86976,0.87177,0.86895,0.72126,0.63946,0.55931,1.13948,0.000336,0.000336,0.000336
85,792.304,0.37525,0.32529,0.93063,0.88236,0.87428,0.86234,0.71541,0.64719,0.53732,1.16412,0.000328,0.000328,0.000328
86,801.52,0.38423,0.33317,0.93862,0.88871,0.89091,0.8812,0.72057,0.63298,0.56059,1.14665,0.00032,0.00032,0.00032
87,810.701,0.37463,0.33454,0.93265,0.8795,0.87177,0.86388,0.71331,0.6105,0.54119,1.11942,0.000312,0.000312,0.000312
88,820.195,0.37703,0.3204,0.93937,0.87678,0.87847,0.86809,0.7241,0.65807,0.58619,1.16036,0.000304,0.000304,0.000304
89,829.474,0.38037,0.35199,0.93585,0.88468,0.89081,0.87332,0.71946,0.6205,0.51357,1.14188,0.000296,0.000296,0.000296
90,838.686,0.36866,0.32556,0.9272,0.87689,0.87943,0.87396,0.72034,0.63656,0.56079,1.17888,0.000288,0.000288,0.000288
91,872.076,0.43562,0.35237,0.95843,0.87753,0.84515,0.87855,0.71338,0.65958,0.55476,1.189,0.00028,0.00028,0.00028
92,881.313,0.42802,0.35657,0.95284,0.87772,0.88612,0.88277,0.72786,0.60305,0.54641,1.12235,0.000272,0.000272,0.000272
93,890.541,0.42541,0.34201,0.94988,0.88081,0.88325,0.88295,0.72815,0.63641,0.56092,1.15951,0.000264,0.000264,0.000264
94,899.855,0.42916,0.33649,0.96366,0.8847,0.88708,0.87178,0.72038,0.66105,0.53834,1.1747,0.000256,0.000256,0.000256
95,909.134,0.42506,0.34623,0.95688,0.8787,0.87993,0.87167,0.72165,0.63505,0.52819,1.16273,0.000248,0.000248,0.000248
96,918.278,0.42227,0.33877,0.95241,0.88066,0.88995,0.86773,0.72373,0.61466,0.55837,1.13274,0.00024,0.00024,0.00024
97,927.494,0.41564,0.34767,0.94891,0.87472,0.88325,0.86155,0.71561,0.64587,0.55552,1.16936,0.000232,0.000232,0.000232
98,936.65,0.41714,0.3388,0.95333,0.87586,0.87847,0.83829,0.70342,0.64492,0.54449,1.1706,0.000224,0.000224,0.000224
99,946.379,0.42107,0.33246,0.94122,0.88126,0.87943,0.84396,0.7022,0.62788,0.54762,1.15669,0.000216,0.000216,0.000216
100,955.592,0.41034,0.33512,0.94104,0.86784,0.8756,0.84827,0.70537,0.63948,0.57204,1.17983,0.000208,0.000208,0.000208
